Content of this URL:  ftp://ftp.tceq.state.tx.us/pub/WaterResourceManagement/WaterQuality/DataCollection/CleanRivers/public/stations.txt
find record with SiteCode 16051 in database, skip it...
find record with SiteCode 14491 in database, skip it...
find record with SiteCode 15266 in database, skip it...
find record with SiteCode 18556 in database, skip it...
find record with SiteCode 12151 in database, skip it...
find record with SiteCode 16845 in database, skip it...
find record with SiteCode 12149 in database, skip it...
find record with SiteCode 12150 in database, skip it...
find record with SiteCode 17439 in database, skip it...
find record with SiteCode 17440 in database, skip it...
find record with SiteCode 17441 in database, skip it...
find record with SiteCode 15950 in database, skip it...
find record with SiteCode 11335 in database, skip it...
find record with SiteCode 14474 in database, skip it...
find record with SiteCode 15102 in database, skip it...
find record with SiteCode 17061 in database, skip it...
find record with SiteCode 13128 in database, skip it...
find record with SiteCode 12597 in database, skip it...
find record with SiteCode 18449 in database, skip it...
find record with SiteCode 17443 in database, skip it...
find record with SiteCode 15403 in database, skip it...
find record with SiteCode 15404 in database, skip it...
find record with SiteCode 15402 in database, skip it...
find record with SiteCode 12601 in database, skip it...
find record with SiteCode 20042 in database, skip it...
find record with SiteCode 20043 in database, skip it...
find record with SiteCode 20045 in database, skip it...
find record with SiteCode 12599 in database, skip it...
find record with SiteCode 12600 in database, skip it...
find record with SiteCode 12598 in database, skip it...
find record with SiteCode 13836 in database, skip it...
find record with SiteCode 13837 in database, skip it...
find record with SiteCode 13838 in database, skip it...
find record with SiteCode 13839 in database, skip it...
find record with SiteCode 13840 in database, skip it...
find record with SiteCode 13841 in database, skip it...
find record with SiteCode 13842 in database, skip it...
find record with SiteCode 13843 in database, skip it...
find record with SiteCode 11536 in database, skip it...
find record with SiteCode 11537 in database, skip it...
find record with SiteCode 16233 in database, skip it...
find record with SiteCode 13393 in database, skip it...
find record with SiteCode 13388 in database, skip it...
find record with SiteCode 14389 in database, skip it...
find record with SiteCode 13392 in database, skip it...
find record with SiteCode 13389 in database, skip it...
find record with SiteCode 17352 in database, skip it...
find record with SiteCode 14700 in database, skip it...
find record with SiteCode 13390 in database, skip it...
find record with SiteCode 14696 in database, skip it...
find record with SiteCode 13391 in database, skip it...
find record with SiteCode 14698 in database, skip it...
find record with SiteCode 14699 in database, skip it...
find record with SiteCode 13395 in database, skip it...
find record with SiteCode 13394 in database, skip it...
find record with SiteCode 14697 in database, skip it...
find record with SiteCode 11417 in database, skip it...
find record with SiteCode 14628 in database, skip it...
find record with SiteCode 11418 in database, skip it...
find record with SiteCode 11416 in database, skip it...
find record with SiteCode 14625 in database, skip it...
find record with SiteCode 14626 in database, skip it...
find record with SiteCode 14627 in database, skip it...
find record with SiteCode 11419 in database, skip it...
find record with SiteCode 14624 in database, skip it...
find record with SiteCode 17095 in database, skip it...
find record with SiteCode 14936 in database, skip it...
find record with SiteCode 18224 in database, skip it...
find record with SiteCode 11174 in database, skip it...
inert new Site record with SiteCode ==> 20797
find record with SiteCode 11272 in database, skip it...
find record with SiteCode 11175 in database, skip it...
find record with SiteCode 20575 in database, skip it...
find record with SiteCode 12540 in database, skip it...
find record with SiteCode 14413 in database, skip it...
find record with SiteCode 15366 in database, skip it...
find record with SiteCode 14277 in database, skip it...
find record with SiteCode 14265 in database, skip it...
find record with SiteCode 17264 in database, skip it...
find record with SiteCode 15023 in database, skip it...
find record with SiteCode 10294 in database, skip it...
find record with SiteCode 11786 in database, skip it...
find record with SiteCode 11785 in database, skip it...
find record with SiteCode 11784 in database, skip it...
find record with SiteCode 11782 in database, skip it...
find record with SiteCode 16251 in database, skip it...
find record with SiteCode 11605 in database, skip it...
find record with SiteCode 11606 in database, skip it...
find record with SiteCode 11680 in database, skip it...
find record with SiteCode 11682 in database, skip it...
find record with SiteCode 11681 in database, skip it...
find record with SiteCode 15369 in database, skip it...
find record with SiteCode 18596 in database, skip it...
find record with SiteCode 18597 in database, skip it...
find record with SiteCode 10717 in database, skip it...
find record with SiteCode 20620 in database, skip it...
find record with SiteCode 16014 in database, skip it...
find record with SiteCode 13069 in database, skip it...
find record with SiteCode 13068 in database, skip it...
find record with SiteCode 18126 in database, skip it...
find record with SiteCode 18127 in database, skip it...
find record with SiteCode 18128 in database, skip it...
find record with SiteCode 18129 in database, skip it...
find record with SiteCode 18130 in database, skip it...
find record with SiteCode 18606 in database, skip it...
find record with SiteCode 18625 in database, skip it...
find record with SiteCode 18124 in database, skip it...
find record with SiteCode 13419 in database, skip it...
find record with SiteCode 13429 in database, skip it...
find record with SiteCode 13431 in database, skip it...
find record with SiteCode 13430 in database, skip it...
find record with SiteCode 13439 in database, skip it...
find record with SiteCode 13438 in database, skip it...
find record with SiteCode 13428 in database, skip it...
find record with SiteCode 13434 in database, skip it...
find record with SiteCode 13432 in database, skip it...
find record with SiteCode 13433 in database, skip it...
find record with SiteCode 13436 in database, skip it...
find record with SiteCode 13437 in database, skip it...
find record with SiteCode 13427 in database, skip it...
find record with SiteCode 13435 in database, skip it...
find record with SiteCode 11108 in database, skip it...
find record with SiteCode 11121 in database, skip it...
find record with SiteCode 11118 in database, skip it...
find record with SiteCode 11123 in database, skip it...
find record with SiteCode 11119 in database, skip it...
find record with SiteCode 11116 in database, skip it...
find record with SiteCode 11122 in database, skip it...
find record with SiteCode 11111 in database, skip it...
find record with SiteCode 11107 in database, skip it...
find record with SiteCode 11120 in database, skip it...
find record with SiteCode 11109 in database, skip it...
find record with SiteCode 11113 in database, skip it...
find record with SiteCode 11117 in database, skip it...
find record with SiteCode 11115 in database, skip it...
find record with SiteCode 11110 in database, skip it...
find record with SiteCode 11112 in database, skip it...
find record with SiteCode 11114 in database, skip it...
find record with SiteCode 18474 in database, skip it...
find record with SiteCode 13528 in database, skip it...
find record with SiteCode 11649 in database, skip it...
find record with SiteCode 16748 in database, skip it...
find record with SiteCode 16749 in database, skip it...
find record with SiteCode 16750 in database, skip it...
find record with SiteCode 16774 in database, skip it...
find record with SiteCode 16771 in database, skip it...
find record with SiteCode 16773 in database, skip it...
find record with SiteCode 16772 in database, skip it...
find record with SiteCode 16752 in database, skip it...
find record with SiteCode 15812 in database, skip it...
find record with SiteCode 15416 in database, skip it...
find record with SiteCode 16751 in database, skip it...
find record with SiteCode 16746 in database, skip it...
find record with SiteCode 16739 in database, skip it...
find record with SiteCode 16740 in database, skip it...
find record with SiteCode 16747 in database, skip it...
find record with SiteCode 11757 in database, skip it...
find record with SiteCode 18716 in database, skip it...
find record with SiteCode 18718 in database, skip it...
find record with SiteCode 20440 in database, skip it...
find record with SiteCode 20529 in database, skip it...
find record with SiteCode 10481 in database, skip it...
find record with SiteCode 11652 in database, skip it...
find record with SiteCode 11646 in database, skip it...
find record with SiteCode 11647 in database, skip it...
find record with SiteCode 16776 in database, skip it...
find record with SiteCode 14492 in database, skip it...
find record with SiteCode 16884 in database, skip it...
find record with SiteCode 15505 in database, skip it...
find record with SiteCode 17842 in database, skip it...
find record with SiteCode 10478 in database, skip it...
find record with SiteCode 11644 in database, skip it...
find record with SiteCode 11434 in database, skip it...
find record with SiteCode 11651 in database, skip it...
find record with SiteCode 16176 in database, skip it...
find record with SiteCode 20675 in database, skip it...
find record with SiteCode 10479 in database, skip it...
find record with SiteCode 13525 in database, skip it...
find record with SiteCode 15442 in database, skip it...
find record with SiteCode 16149 in database, skip it...
find record with SiteCode 11648 in database, skip it...
find record with SiteCode 18719 in database, skip it...
find record with SiteCode 16171 in database, skip it...
find record with SiteCode 11787 in database, skip it...
find record with SiteCode 11645 in database, skip it...
find record with SiteCode 11653 in database, skip it...
find record with SiteCode 11659 in database, skip it...
find record with SiteCode 13527 in database, skip it...
find record with SiteCode 18469 in database, skip it...
find record with SiteCode 18470 in database, skip it...
find record with SiteCode 18471 in database, skip it...
find record with SiteCode 18472 in database, skip it...
find record with SiteCode 18473 in database, skip it...
find record with SiteCode 13526 in database, skip it...
find record with SiteCode 13764 in database, skip it...
find record with SiteCode 11650 in database, skip it...
find record with SiteCode 11654 in database, skip it...
find record with SiteCode 11655 in database, skip it...
find record with SiteCode 11656 in database, skip it...
find record with SiteCode 17090 in database, skip it...
find record with SiteCode 16744 in database, skip it...
find record with SiteCode 16741 in database, skip it...
find record with SiteCode 16742 in database, skip it...
find record with SiteCode 16743 in database, skip it...
find record with SiteCode 16753 in database, skip it...
find record with SiteCode 16745 in database, skip it...
find record with SiteCode 10984 in database, skip it...
find record with SiteCode 10983 in database, skip it...
find record with SiteCode 10982 in database, skip it...
find record with SiteCode 13845 in database, skip it...
find record with SiteCode 13846 in database, skip it...
find record with SiteCode 13844 in database, skip it...
find record with SiteCode 13847 in database, skip it...
find record with SiteCode 13848 in database, skip it...
find record with SiteCode 13849 in database, skip it...
find record with SiteCode 13850 in database, skip it...
find record with SiteCode 13851 in database, skip it...
find record with SiteCode 13852 in database, skip it...
find record with SiteCode 13854 in database, skip it...
find record with SiteCode 20140 in database, skip it...
find record with SiteCode 20142 in database, skip it...
find record with SiteCode 20141 in database, skip it...
find record with SiteCode 20144 in database, skip it...
find record with SiteCode 18701 in database, skip it...
find record with SiteCode 18702 in database, skip it...
find record with SiteCode 14653 in database, skip it...
find record with SiteCode 20143 in database, skip it...
find record with SiteCode 16534 in database, skip it...
find record with SiteCode 14405 in database, skip it...
find record with SiteCode 13376 in database, skip it...
find record with SiteCode 17261 in database, skip it...
find record with SiteCode 16951 in database, skip it...
find record with SiteCode 13101 in database, skip it...
find record with SiteCode 13102 in database, skip it...
find record with SiteCode 16952 in database, skip it...
find record with SiteCode 20000 in database, skip it...
find record with SiteCode 10977 in database, skip it...
find record with SiteCode 10975 in database, skip it...
find record with SiteCode 10978 in database, skip it...
find record with SiteCode 10976 in database, skip it...
find record with SiteCode 10974 in database, skip it...
find record with SiteCode 10883 in database, skip it...
find record with SiteCode 10884 in database, skip it...
find record with SiteCode 10885 in database, skip it...
find record with SiteCode 20158 in database, skip it...
find record with SiteCode 11509 in database, skip it...
find record with SiteCode 10533 in database, skip it...
find record with SiteCode 15777 in database, skip it...
find record with SiteCode 12274 in database, skip it...
find record with SiteCode 16074 in database, skip it...
find record with SiteCode 15359 in database, skip it...
find record with SiteCode 15746 in database, skip it...
find record with SiteCode 16493 in database, skip it...
find record with SiteCode 16674 in database, skip it...
find record with SiteCode 16472 in database, skip it...
find record with SiteCode 18817 in database, skip it...
find record with SiteCode 17072 in database, skip it...
find record with SiteCode 17078 in database, skip it...
find record with SiteCode 11623 in database, skip it...
find record with SiteCode 20663 in database, skip it...
find record with SiteCode 20058 in database, skip it...
find record with SiteCode 12930 in database, skip it...
find record with SiteCode 15360 in database, skip it...
find record with SiteCode 10691 in database, skip it...
find record with SiteCode 10692 in database, skip it...
find record with SiteCode 10690 in database, skip it...
find record with SiteCode 11481 in database, skip it...
find record with SiteCode 14444 in database, skip it...
find record with SiteCode 11482 in database, skip it...
find record with SiteCode 15180 in database, skip it...
find record with SiteCode 16228 in database, skip it...
find record with SiteCode 13346 in database, skip it...
find record with SiteCode 17086 in database, skip it...
find record with SiteCode 13347 in database, skip it...
find record with SiteCode 17085 in database, skip it...
find record with SiteCode 11479 in database, skip it...
find record with SiteCode 11484 in database, skip it...
find record with SiteCode 11478 in database, skip it...
find record with SiteCode 11480 in database, skip it...
find record with SiteCode 12533 in database, skip it...
find record with SiteCode 11483 in database, skip it...
find record with SiteCode 14445 in database, skip it...
find record with SiteCode 16973 in database, skip it...
find record with SiteCode 16972 in database, skip it...
find record with SiteCode 16971 in database, skip it...
find record with SiteCode 16970 in database, skip it...
find record with SiteCode 14446 in database, skip it...
find record with SiteCode 10110 in database, skip it...
find record with SiteCode 16130 in database, skip it...
find record with SiteCode 10109 in database, skip it...
find record with SiteCode 10112 in database, skip it...
find record with SiteCode 10111 in database, skip it...
find record with SiteCode 16123 in database, skip it...
find record with SiteCode 18370 in database, skip it...
find record with SiteCode 10108 in database, skip it...
find record with SiteCode 17391 in database, skip it...
find record with SiteCode 13020 in database, skip it...
find record with SiteCode 13021 in database, skip it...
find record with SiteCode 17392 in database, skip it...
find record with SiteCode 13022 in database, skip it...
find record with SiteCode 13019 in database, skip it...
find record with SiteCode 20179 in database, skip it...
find record with SiteCode 17997 in database, skip it...
find record with SiteCode 17389 in database, skip it...
find record with SiteCode 17390 in database, skip it...
find record with SiteCode 17393 in database, skip it...
find record with SiteCode 14888 in database, skip it...
find record with SiteCode 15931 in database, skip it...
find record with SiteCode 13351 in database, skip it...
find record with SiteCode 13350 in database, skip it...
find record with SiteCode 13353 in database, skip it...
find record with SiteCode 14651 in database, skip it...
find record with SiteCode 14650 in database, skip it...
find record with SiteCode 13352 in database, skip it...
find record with SiteCode 14649 in database, skip it...
find record with SiteCode 12926 in database, skip it...
find record with SiteCode 12922 in database, skip it...
find record with SiteCode 12927 in database, skip it...
find record with SiteCode 12856 in database, skip it...
find record with SiteCode 15312 in database, skip it...
find record with SiteCode 12858 in database, skip it...
find record with SiteCode 12923 in database, skip it...
find record with SiteCode 12925 in database, skip it...
find record with SiteCode 16702 in database, skip it...
find record with SiteCode 12928 in database, skip it...
find record with SiteCode 12855 in database, skip it...
find record with SiteCode 14211 in database, skip it...
find record with SiteCode 12808 in database, skip it...
find record with SiteCode 20777 in database, skip it...
find record with SiteCode 12803 in database, skip it...
find record with SiteCode 12805 in database, skip it...
find record with SiteCode 12802 in database, skip it...
find record with SiteCode 12807 in database, skip it...
find record with SiteCode 12797 in database, skip it...
find record with SiteCode 12800 in database, skip it...
find record with SiteCode 12854 in database, skip it...
find record with SiteCode 12919 in database, skip it...
find record with SiteCode 12857 in database, skip it...
find record with SiteCode 15108 in database, skip it...
find record with SiteCode 12799 in database, skip it...
find record with SiteCode 18858 in database, skip it...
find record with SiteCode 12801 in database, skip it...
find record with SiteCode 12924 in database, skip it...
find record with SiteCode 14197 in database, skip it...
find record with SiteCode 12798 in database, skip it...
find record with SiteCode 12804 in database, skip it...
find record with SiteCode 12809 in database, skip it...
find record with SiteCode 12929 in database, skip it...
find record with SiteCode 12921 in database, skip it...
find record with SiteCode 15126 in database, skip it...
find record with SiteCode 14921 in database, skip it...
find record with SiteCode 12853 in database, skip it...
find record with SiteCode 12806 in database, skip it...
find record with SiteCode 12920 in database, skip it...
find record with SiteCode 14212 in database, skip it...
find record with SiteCode 13113 in database, skip it...
find record with SiteCode 17660 in database, skip it...
find record with SiteCode 17448 in database, skip it...
find record with SiteCode 17657 in database, skip it...
find record with SiteCode 17520 in database, skip it...
find record with SiteCode 17655 in database, skip it...
find record with SiteCode 14897 in database, skip it...
find record with SiteCode 15333 in database, skip it...
find record with SiteCode 20781 in database, skip it...
find record with SiteCode 16108 in database, skip it...
find record with SiteCode 14893 in database, skip it...
find record with SiteCode 16463 in database, skip it...
find record with SiteCode 18206 in database, skip it...
find record with SiteCode 16467 in database, skip it...
find record with SiteCode 16462 in database, skip it...
find record with SiteCode 16461 in database, skip it...
find record with SiteCode 16466 in database, skip it...
find record with SiteCode 17656 in database, skip it...
find record with SiteCode 14896 in database, skip it...
find record with SiteCode 18207 in database, skip it...
find record with SiteCode 17449 in database, skip it...
find record with SiteCode 17450 in database, skip it...
find record with SiteCode 17654 in database, skip it...
find record with SiteCode 12556 in database, skip it...
find record with SiteCode 15081 in database, skip it...
find record with SiteCode 14968 in database, skip it...
find record with SiteCode 11449 in database, skip it...
find record with SiteCode 16577 in database, skip it...
find record with SiteCode 16574 in database, skip it...
find record with SiteCode 11445 in database, skip it...
find record with SiteCode 16985 in database, skip it...
find record with SiteCode 16572 in database, skip it...
find record with SiteCode 16575 in database, skip it...
find record with SiteCode 18335 in database, skip it...
find record with SiteCode 20009 in database, skip it...
find record with SiteCode 20010 in database, skip it...
find record with SiteCode 17074 in database, skip it...
find record with SiteCode 18590 in database, skip it...
find record with SiteCode 18852 in database, skip it...
find record with SiteCode 18634 in database, skip it...
find record with SiteCode 11451 in database, skip it...
find record with SiteCode 13618 in database, skip it...
find record with SiteCode 11453 in database, skip it...
find record with SiteCode 14229 in database, skip it...
find record with SiteCode 15458 in database, skip it...
find record with SiteCode 11450 in database, skip it...
find record with SiteCode 18382 in database, skip it...
find record with SiteCode 16827 in database, skip it...
find record with SiteCode 20019 in database, skip it...
find record with SiteCode 17073 in database, skip it...
find record with SiteCode 17077 in database, skip it...
find record with SiteCode 18386 in database, skip it...
find record with SiteCode 17079 in database, skip it...
find record with SiteCode 18384 in database, skip it...
find record with SiteCode 17076 in database, skip it...
find record with SiteCode 11452 in database, skip it...
find record with SiteCode 16755 in database, skip it...
find record with SiteCode 13785 in database, skip it...
find record with SiteCode 16573 in database, skip it...
find record with SiteCode 16576 in database, skip it...
find record with SiteCode 11448 in database, skip it...
find record with SiteCode 11447 in database, skip it...
find record with SiteCode 11446 in database, skip it...
find record with SiteCode 18710 in database, skip it...
find record with SiteCode 11578 in database, skip it...
find record with SiteCode 10859 in database, skip it...
find record with SiteCode 11988 in database, skip it...
find record with SiteCode 11986 in database, skip it...
find record with SiteCode 11989 in database, skip it...
find record with SiteCode 11987 in database, skip it...
find record with SiteCode 11981 in database, skip it...
find record with SiteCode 11993 in database, skip it...
find record with SiteCode 11983 in database, skip it...
find record with SiteCode 11984 in database, skip it...
find record with SiteCode 11985 in database, skip it...
find record with SiteCode 13623 in database, skip it...
find record with SiteCode 11045 in database, skip it...
find record with SiteCode 17446 in database, skip it...
find record with SiteCode 11044 in database, skip it...
find record with SiteCode 17445 in database, skip it...
find record with SiteCode 17122 in database, skip it...
find record with SiteCode 16119 in database, skip it...
find record with SiteCode 16122 in database, skip it...
find record with SiteCode 17461 in database, skip it...
find record with SiteCode 17459 in database, skip it...
find record with SiteCode 14945 in database, skip it...
find record with SiteCode 16415 in database, skip it...
find record with SiteCode 16414 in database, skip it...
find record with SiteCode 16413 in database, skip it...
find record with SiteCode 17462 in database, skip it...
find record with SiteCode 11982 in database, skip it...
find record with SiteCode 18766 in database, skip it...
find record with SiteCode 18765 in database, skip it...
find record with SiteCode 11995 in database, skip it...
find record with SiteCode 11994 in database, skip it...
find record with SiteCode 11998 in database, skip it...
find record with SiteCode 11999 in database, skip it...
find record with SiteCode 11992 in database, skip it...
find record with SiteCode 11997 in database, skip it...
find record with SiteCode 12001 in database, skip it...
find record with SiteCode 11991 in database, skip it...
find record with SiteCode 12000 in database, skip it...
find record with SiteCode 11996 in database, skip it...
find record with SiteCode 11990 in database, skip it...
find record with SiteCode 20490 in database, skip it...
find record with SiteCode 20493 in database, skip it...
find record with SiteCode 20507 in database, skip it...
find record with SiteCode 17637 in database, skip it...
find record with SiteCode 15606 in database, skip it...
find record with SiteCode 17444 in database, skip it...
find record with SiteCode 11062 in database, skip it...
find record with SiteCode 11060 in database, skip it...
find record with SiteCode 13691 in database, skip it...
find record with SiteCode 15042 in database, skip it...
find record with SiteCode 20427 in database, skip it...
find record with SiteCode 18456 in database, skip it...
find record with SiteCode 17463 in database, skip it...
find record with SiteCode 17460 in database, skip it...
find record with SiteCode 18057 in database, skip it...
find record with SiteCode 15105 in database, skip it...
find record with SiteCode 13335 in database, skip it...
find record with SiteCode 13333 in database, skip it...
find record with SiteCode 16977 in database, skip it...
find record with SiteCode 16671 in database, skip it...
find record with SiteCode 16571 in database, skip it...
find record with SiteCode 13332 in database, skip it...
find record with SiteCode 16976 in database, skip it...
find record with SiteCode 15468 in database, skip it...
find record with SiteCode 16563 in database, skip it...
find record with SiteCode 15937 in database, skip it...
find record with SiteCode 15938 in database, skip it...
find record with SiteCode 18426 in database, skip it...
find record with SiteCode 13334 in database, skip it...
find record with SiteCode 20014 in database, skip it...
find record with SiteCode 12787 in database, skip it...
find record with SiteCode 20776 in database, skip it...
find record with SiteCode 20775 in database, skip it...
find record with SiteCode 14236 in database, skip it...
find record with SiteCode 17049 in database, skip it...
find record with SiteCode 15708 in database, skip it...
find record with SiteCode 11741 in database, skip it...
find record with SiteCode 15583 in database, skip it...
find record with SiteCode 15584 in database, skip it...
find record with SiteCode 15586 in database, skip it...
find record with SiteCode 15587 in database, skip it...
find record with SiteCode 15589 in database, skip it...
find record with SiteCode 15591 in database, skip it...
find record with SiteCode 17659 in database, skip it...
find record with SiteCode 15748 in database, skip it...
find record with SiteCode 14280 in database, skip it...
find record with SiteCode 16942 in database, skip it...
find record with SiteCode 18711 in database, skip it...
find record with SiteCode 20540 in database, skip it...
find record with SiteCode 16356 in database, skip it...
find record with SiteCode 10004 in database, skip it...
find record with SiteCode 11154 in database, skip it...
find record with SiteCode 16593 in database, skip it...
find record with SiteCode 16060 in database, skip it...
find record with SiteCode 20389 in database, skip it...
find record with SiteCode 18594 in database, skip it...
find record with SiteCode 12623 in database, skip it...
find record with SiteCode 12622 in database, skip it...
find record with SiteCode 18694 in database, skip it...
find record with SiteCode 17942 in database, skip it...
find record with SiteCode 17097 in database, skip it...
find record with SiteCode 11837 in database, skip it...
find record with SiteCode 17244 in database, skip it...
find record with SiteCode 16900 in database, skip it...
find record with SiteCode 17475 in database, skip it...
find record with SiteCode 15147 in database, skip it...
find record with SiteCode 17362 in database, skip it...
find record with SiteCode 17360 in database, skip it...
find record with SiteCode 17359 in database, skip it...
find record with SiteCode 17361 in database, skip it...
find record with SiteCode 12484 in database, skip it...
find record with SiteCode 12469 in database, skip it...
find record with SiteCode 12462 in database, skip it...
find record with SiteCode 12457 in database, skip it...
find record with SiteCode 12460 in database, skip it...
find record with SiteCode 12358 in database, skip it...
find record with SiteCode 12472 in database, skip it...
find record with SiteCode 12464 in database, skip it...
find record with SiteCode 12470 in database, skip it...
find record with SiteCode 12468 in database, skip it...
find record with SiteCode 12465 in database, skip it...
find record with SiteCode 12473 in database, skip it...
find record with SiteCode 12471 in database, skip it...
find record with SiteCode 12459 in database, skip it...
find record with SiteCode 12467 in database, skip it...
find record with SiteCode 12458 in database, skip it...
find record with SiteCode 12461 in database, skip it...
find record with SiteCode 12474 in database, skip it...
find record with SiteCode 12432 in database, skip it...
find record with SiteCode 14750 in database, skip it...
find record with SiteCode 20641 in database, skip it...
find record with SiteCode 16340 in database, skip it...
find record with SiteCode 12466 in database, skip it...
find record with SiteCode 17002 in database, skip it...
find record with SiteCode 15956 in database, skip it...
find record with SiteCode 12365 in database, skip it...
find record with SiteCode 12283 in database, skip it...
find record with SiteCode 12354 in database, skip it...
find record with SiteCode 12287 in database, skip it...
find record with SiteCode 12463 in database, skip it...
find record with SiteCode 17003 in database, skip it...
find record with SiteCode 16901 in database, skip it...
find record with SiteCode 16336 in database, skip it...
find record with SiteCode 12290 in database, skip it...
find record with SiteCode 18816 in database, skip it...
find record with SiteCode 12357 in database, skip it...
find record with SiteCode 12356 in database, skip it...
find record with SiteCode 12363 in database, skip it...
find record with SiteCode 12286 in database, skip it...
find record with SiteCode 18338 in database, skip it...
find record with SiteCode 12284 in database, skip it...
find record with SiteCode 15476 in database, skip it...
find record with SiteCode 15434 in database, skip it...
find record with SiteCode 12355 in database, skip it...
find record with SiteCode 12431 in database, skip it...
find record with SiteCode 12430 in database, skip it...
find record with SiteCode 12289 in database, skip it...
find record with SiteCode 18351 in database, skip it...
find record with SiteCode 17358 in database, skip it...
find record with SiteCode 13651 in database, skip it...
find record with SiteCode 13667 in database, skip it...
find record with SiteCode 15203 in database, skip it...
find record with SiteCode 14759 in database, skip it...
find record with SiteCode 12362 in database, skip it...
find record with SiteCode 12292 in database, skip it...
find record with SiteCode 12291 in database, skip it...
find record with SiteCode 12364 in database, skip it...
find record with SiteCode 12293 in database, skip it...
find record with SiteCode 12285 in database, skip it...
find record with SiteCode 12366 in database, skip it...
find record with SiteCode 12279 in database, skip it...
find record with SiteCode 12281 in database, skip it...
find record with SiteCode 12282 in database, skip it...
find record with SiteCode 12278 in database, skip it...
find record with SiteCode 12280 in database, skip it...
find record with SiteCode 12475 in database, skip it...
find record with SiteCode 15144 in database, skip it...
find record with SiteCode 12653 in database, skip it...
find record with SiteCode 12652 in database, skip it...
find record with SiteCode 15204 in database, skip it...
find record with SiteCode 15146 in database, skip it...
find record with SiteCode 13510 in database, skip it...
find record with SiteCode 15082 in database, skip it...
find record with SiteCode 15401 in database, skip it...
find record with SiteCode 15412 in database, skip it...
find record with SiteCode 12655 in database, skip it...
find record with SiteCode 15413 in database, skip it...
find record with SiteCode 12651 in database, skip it...
find record with SiteCode 12654 in database, skip it...
find record with SiteCode 12574 in database, skip it...
find record with SiteCode 12572 in database, skip it...
find record with SiteCode 12573 in database, skip it...
find record with SiteCode 12428 in database, skip it...
find record with SiteCode 12171 in database, skip it...
find record with SiteCode 12415 in database, skip it...
find record with SiteCode 12403 in database, skip it...
find record with SiteCode 12407 in database, skip it...
find record with SiteCode 12402 in database, skip it...
find record with SiteCode 15889 in database, skip it...
find record with SiteCode 12413 in database, skip it...
find record with SiteCode 12401 in database, skip it...
find record with SiteCode 12404 in database, skip it...
find record with SiteCode 12405 in database, skip it...
find record with SiteCode 12417 in database, skip it...
find record with SiteCode 12406 in database, skip it...
find record with SiteCode 12408 in database, skip it...
find record with SiteCode 12409 in database, skip it...
find record with SiteCode 20105 in database, skip it...
find record with SiteCode 20079 in database, skip it...
find record with SiteCode 20080 in database, skip it...
find record with SiteCode 12416 in database, skip it...
find record with SiteCode 12276 in database, skip it...
find record with SiteCode 12277 in database, skip it...
find record with SiteCode 12433 in database, skip it...
find record with SiteCode 18848 in database, skip it...
find record with SiteCode 13287 in database, skip it...
find record with SiteCode 16994 in database, skip it...
find record with SiteCode 20218 in database, skip it...
find record with SiteCode 12956 in database, skip it...
find record with SiteCode 12959 in database, skip it...
find record with SiteCode 12957 in database, skip it...
find record with SiteCode 10843 in database, skip it...
find record with SiteCode 10820 in database, skip it...
find record with SiteCode 16052 in database, skip it...
find record with SiteCode 18318 in database, skip it...
find record with SiteCode 16699 in database, skip it...
find record with SiteCode 17075 in database, skip it...
find record with SiteCode 15211 in database, skip it...
find record with SiteCode 13855 in database, skip it...
find record with SiteCode 13856 in database, skip it...
find record with SiteCode 13857 in database, skip it...
find record with SiteCode 13858 in database, skip it...
find record with SiteCode 13859 in database, skip it...
find record with SiteCode 13860 in database, skip it...
find record with SiteCode 14494 in database, skip it...
find record with SiteCode 17728 in database, skip it...
find record with SiteCode 13404 in database, skip it...
find record with SiteCode 12945 in database, skip it...
find record with SiteCode 14781 in database, skip it...
find record with SiteCode 14784 in database, skip it...
find record with SiteCode 15092 in database, skip it...
find record with SiteCode 18608 in database, skip it...
find record with SiteCode 18612 in database, skip it...
find record with SiteCode 18623 in database, skip it...
find record with SiteCode 18624 in database, skip it...
find record with SiteCode 14783 in database, skip it...
find record with SiteCode 18223 in database, skip it...
find record with SiteCode 17723 in database, skip it...
find record with SiteCode 17714 in database, skip it...
find record with SiteCode 17716 in database, skip it...
find record with SiteCode 14780 in database, skip it...
find record with SiteCode 14790 in database, skip it...
find record with SiteCode 17727 in database, skip it...
find record with SiteCode 17718 in database, skip it...
find record with SiteCode 17719 in database, skip it...
find record with SiteCode 17715 in database, skip it...
find record with SiteCode 17717 in database, skip it...
find record with SiteCode 14782 in database, skip it...
find record with SiteCode 17721 in database, skip it...
find record with SiteCode 14785 in database, skip it...
find record with SiteCode 17809 in database, skip it...
find record with SiteCode 17816 in database, skip it...
find record with SiteCode 18267 in database, skip it...
find record with SiteCode 17725 in database, skip it...
find record with SiteCode 18229 in database, skip it...
find record with SiteCode 17720 in database, skip it...
find record with SiteCode 14779 in database, skip it...
find record with SiteCode 18226 in database, skip it...
find record with SiteCode 14787 in database, skip it...
find record with SiteCode 17811 in database, skip it...
find record with SiteCode 17740 in database, skip it...
find record with SiteCode 17741 in database, skip it...
find record with SiteCode 14792 in database, skip it...
find record with SiteCode 14788 in database, skip it...
find record with SiteCode 17810 in database, skip it...
find record with SiteCode 17814 in database, skip it...
find record with SiteCode 17722 in database, skip it...
